prec,       card,      avg_est,      std_err,      max_err
 6,           40,        40.47,     0.072749,     0.146341
 6,           40,        40.33,     0.103875,     0.195122
 6,           40,        40.20,      0.09522,     0.219512
 6,           41,        41.90,    0.0894156,     0.261905
 6,           41,        40.90,    0.0835383,     0.190476
 6,           41,        41.10,     0.102456,     0.214286
 6,           41,        40.20,    0.0935817,     0.190476
 6,           41,        41.50,     0.112113,     0.238095
 6,           42,        42.07,    0.0796291,     0.139535
 6,           42,        43.10,     0.110016,     0.255814
 6,           42,        43.00,    0.0909964,     0.186047
 6,           42,        42.83,     0.094712,     0.186047
 6,           42,        41.37,    0.0792771,     0.162791
 6,           43,        42.47,    0.0951218,     0.181818
 6,           43,        43.23,     0.111899,     0.227273
 6,           43,        43.77,    0.0849329,     0.181818
 6,           43,        41.80,       0.1071,     0.204545
 6,           43,        44.07,      0.11166,     0.272727
 6,           43,        43.70,    0.0865943,     0.204545
 6,           44,        43.63,    0.0796972,          0.2
 6,           44,        43.70,     0.103164,     0.244444
 6,           44,        45.13,      0.10553,     0.288889
 6,           44,        44.47,     0.111494,     0.244444
 6,           44,        43.67,    0.0966004,     0.177778
 6,           45,        44.30,    0.0928477,     0.217391
 6,           45,        45.13,     0.114465,     0.217391
 6,           45,        44.03,     0.111945,     0.217391
 6,           45,        44.30,    0.0881662,      0.26087
 6,           45,        45.47,     0.107414,      0.26087
 6,           46,        46.67,     0.107333,     0.234043
 6,           46,        46.80,     0.112585,     0.234043
 6,           46,        44.30,     0.116201,     0.212766
 6,           46,        46.63,    0.0984575,     0.212766
 6,           46,        45.77,    0.0973414,     0.234043
 6,           47,        47.67,     0.100287,     0.270833
 6,           47,        47.57,     0.092767,     0.208333
 6,           47,        47.23,     0.120426,     0.333333
 6,           47,        47.20,    0.0983277,         0.25
 6,           47,        48.37,     0.129412,       0.3125
 6,           48,        45.90,     0.092596,     0.204082
 6,           48,        48.07,     0.100266,     0.204082
 6,           48,        46.57,    0.0944389,     0.204082
 6,           48,        48.70,    0.0760777,     0.163265
 6,           48,        47.83,    0.0944389,     0.163265
 6,           48,        47.23,     0.099186,     0.204082
 6,           49,        49.93,     0.098401,         0.22
 6,           49,        48.87,      0.10635,         0.26
 6,           49,        50.30,    0.0925501,         0.22
 6,           49,        50.00,     0.106997,         0.26
 6,           49,        49.43,    0.0834597,         0.16
 6,           50,        48.97,    0.0839031,     0.196078
 6,           50,        49.43,     0.093612,     0.196078
 6,           50,        51.10,     0.118936,     0.235294
 6,           50,        50.60,     0.125075,      0.27451
 6,           50,        50.97,     0.132237,     0.352941
 6,           51,        50.07,     0.104602,         0.25
 6,           51,        50.00,     0.110299,         0.25
 6,           51,        51.30,     0.099926,     0.211538
 6,           51,        50.90,     0.102943,     0.269231
 6,           51,        51.03,    0.0869611,     0.211538
 6,           52,        52.33,     0.101304,     0.301887
 6,           52,        51.43,     0.101969,     0.226415
 6,           52,        51.60,    0.0963354,     0.188679
 6,           52,        51.87,    0.0815689,     0.245283
 6,           52,        52.03,     0.122529,     0.245283
 6,           52,        52.53,     0.117465,     0.245283
 6,           53,        53.33,     0.101313,     0.333333
 6,           53,        52.03,    0.0922087,     0.222222
 6,           53,        54.10,      0.10008,     0.240741
 6,           53,        51.33,     0.117625,     0.314815
 6,           53,        54.27,    0.0971424,     0.166667
 6,           54,        53.17,      0.08194,     0.145455
 6,           54,        54.80,     0.113193,     0.254545
 6,           54,        52.50,     0.104774,     0.218182
 6,           54,        53.00,     0.101961,     0.181818
 6,           54,        54.67,     0.108252,     0.290909
 6,           55,        52.30,     0.104282,     0.178571
 6,           55,        55.17,     0.117939,     0.232143
 6,           55,        55.80,    0.0887298,     0.160714
 6,           55,        57.37,     0.112695,     0.285714
 6,           55,        55.53,    0.0833627,     0.178571
 6,           56,        56.90,     0.121591,     0.263158
 6,           56,        55.07,    0.0898117,     0.210526
 6,           56,        55.07,      0.10961,     0.210526
 6,           56,        57.90,    0.0959259,     0.210526
 6,           56,        55.50,     0.135699,     0.368421
 6,           57,        56.70,    0.0882051,     0.189655
 6,           57,        57.50,     0.100074,     0.293103
 6,           57,        57.07,    0.0993026,     0.189655
 6,           57,        58.17,    0.0848889,     0.241379
 6,           57,        55.47,    0.0943263,     0.224138
 6,           57,        58.27,     0.102453,     0.258621
 6,           58,        58.47,    0.0849209,     0.220339
 6,           58,        60.23,     0.107611,     0.271186
 6,           58,        58.43,     0.117301,     0.322034
 6,           58,        58.10,     0.100962,     0.220339
 6,           58,        57.47,     0.128774,     0.322034
 6,           59,        61.87,     0.107568,     0.366667
 6,           59,        58.93,      0.11858,         0.25
 6,           59,        57.37,     0.089432,     0.183333
 6,           59,        61.57,     0.128616,         0.25
 6,           59,        61.53,      0.12224,          0.3
 6,           60,        61.67,     0.120467,     0.278689
 6,           60,        62.77,     0.117231,     0.278689
 6,           60,        58.53,    0.0926353,     0.229508
 6,           60,        63.17,     0.129476,     0.344262
 6,           60,        59.37,     0.121272,     0.344262
 6,           61,        61.00,    0.0980633,     0.209677
 6,           61,        61.03,      0.11534,     0.435484
 6,           61,        61.80,    0.0949967,     0.177419
 6,           61,        64.53,     0.109228,     0.209677
 6,           61,        63.13,     0.124863,     0.258065
 6,           62,        63.50,     0.144249,     0.412698
 6,           62,        63.77,     0.101637,     0.238095
 6,           62,        62.43,     0.109139,     0.190476
 6,           62,        60.70,     0.120273,     0.301587
 6,           62,        59.77,     0.115256,     0.253968
 6,           62,        61.00,    0.0942293,     0.238095
 6,           63,        64.20,     0.114232,     0.390625
 6,           63,        61.80,     0.106686,     0.203125
 6,           63,        63.50,     0.108136,     0.234375
 6,           63,        63.07,    0.0941979,      0.21875
 6,           63,        65.47,      0.12634,     0.328125
 6,           64,        63.97,    0.0912852,     0.184615
 6,           64,        65.37,    0.0925285,     0.261538
 6,           64,        63.57,     0.106703,     0.215385
 6,           64,        66.10,     0.104461,     0.261538
 6,           64,        61.83,     0.136502,     0.369231
 6,           65,        64.80,     0.103835,      0.19697
 6,           65,        65.10,     0.077921,      0.19697
 6,           65,        66.73,    0.0776666,     0.151515
 6,           65,        64.87,     0.110125,      0.19697
 6,           65,        64.90,     0.114806,     0.287879
 6,           66,        66.87,     0.119145,     0.268657
 6,           66,        67.33,     0.109328,     0.268657
 6,           66,        64.10,    0.0921313,     0.164179
 6,           66,        66.87,    0.0889498,     0.268657
 6,           66,        67.83,     0.113837,     0.328358
 6,           67,        67.50,     0.113156,     0.308824
 6,           67,        69.00,     0.132606,     0.367647
 6,           67,        68.37,     0.104594,     0.205882
 6,           67,        66.43,    0.0943218,     0.205882
 6,           67,        68.63,     0.104808,         0.25
 6,           67,        68.00,     0.113846,     0.367647
 6,           68,        68.10,     0.101663,     0.231884
 6,           68,        68.67,     0.109979,     0.231884
 6,           68,        68.30,     0.110865,     0.188406
 6,           68,        69.43,     0.107683,     0.231884
 6,           68,        71.23,      0.11541,     0.289855
 6,           69,        67.83,     0.131654,     0.271429
 6,           69,        70.93,     0.125329,     0.271429
 6,           69,        70.10,     0.102913,     0.271429
 6,           69,        70.83,     0.105746,     0.214286
 6,           69,        70.00,     0.103968,     0.214286
 6,           70,        70.17,    0.0865465,     0.197183
 6,           70,        67.63,     0.105041,     0.253521
 6,           70,        70.27,     0.130719,     0.253521
 6,           70,        68.67,     0.123397,     0.309859
 6,           70,        70.27,    0.0981395,     0.253521
 6,           71,        71.27,     0.110811,     0.222222
 6,           71,        70.33,    0.0928477,     0.222222
 6,           71,        70.07,     0.117001,     0.319444
 6,           71,        71.80,     0.105081,     0.236111
 6,           71,        72.93,     0.169751,     0.361111
 6,           72,        73.90,    0.0917523,     0.219178
 6,           72,        70.90,     0.110207,     0.342466
 6,           72,        76.30,      0.13701,     0.410959
 6,           72,        71.57,     0.126346,     0.219178
 6,           72,        68.40,     0.116292,     0.273973
 6,           72,        69.67,     0.098059,     0.205479
 6,           73,        75.27,      0.11998,     0.256757
 6,           73,        75.20,     0.113451,     0.216216
 6,           73,        74.20,      0.10125,     0.324324
 6,           73,        73.47,      0.11395,     0.283784
 6,           73,        71.10,     0.096179,     0.202703
 6,           74,        74.03,     0.109475,         0.24
 6,           74,        76.80,     0.113191,     0.306667
 6,           74,        73.73,     0.108603,         0.24
 6,           74,        74.63,     0.123276,     0.306667
 6,           74,        72.03,     0.102116,     0.186667
 6,           75,        73.37,     0.106644,     0.197368
 6,           75,        74.80,    0.0971216,     0.236842
 6,           75,        75.77,    0.0919106,     0.289474
 6,           75,        77.33,     0.101862,     0.263158
 6,           75,        74.53,    0.0852729,     0.171053
 6,           76,        75.77,    0.0794374,     0.207792
 6,           76,        76.23,     0.106084,     0.207792
 6,           76,        76.53,     0.105782,     0.272727
 6,           76,        77.93,     0.115053,     0.207792
 6,           76,        74.83,     0.122044,     0.272727
 6,           76,        72.87,     0.100133,     0.207792
 6,           77,        79.80,     0.122138,     0.320513
 6,           77,        77.07,     0.116143,     0.320513
 6,           77,        81.30,     0.148427,     0.320513
 6,           77,        78.60,     0.153366,     0.525641
 6,           77,        76.73,     0.132595,     0.384615
 6,           78,        78.03,     0.101783,     0.240506
 6,           78,        80.70,     0.123377,     0.240506
 6,           78,        76.47,    0.0972013,     0.202532
 6,           78,        78.20,    0.0990035,     0.202532
 6,           78,        82.43,     0.135459,      0.43038
 6,           79,        80.97,     0.121392,       0.4125
 6,           79,        81.80,     0.124655,         0.35
 6,           79,        78.47,     0.135507,         0.35
 6,           79,        83.17,     0.141555,       0.4125
 6,           79,        80.40,     0.106825,        0.225
 6,           80,        79.57,    0.0941615,     0.222222
 6,           80,        81.27,     0.105107,     0.222222
 6,           80,        79.53,     0.101702,     0.222222
 6,           80,        82.20,     0.149209,     0.469136
 6,           80,        81.47,     0.103748,     0.271605
 6,           81,        82.67,     0.119616,     0.317073
 6,           81,        82.47,      0.10422,     0.317073
 6,           81,        80.83,     0.115227,     0.195122
 6,           81,        83.50,     0.113658,     0.317073
 6,           81,        80.57,    0.0965836,     0.195122
 6,           81,        80.90,     0.084763,     0.256098
 6,           82,        81.17,    0.0892958,     0.240964
 6,           82,        81.17,      0.10328,     0.204819
 6,           82,        83.37,    0.0973929,     0.301205
 6,           82,        81.33,    0.0997542,     0.180723
 6,           82,        81.33,     0.114954,     0.240964
 6,           83,        83.27,      0.10298,     0.178571
 6,           83,        83.87,     0.119621,     0.285714
 6,           83,        81.53,    0.0942581,     0.214286
 6,           83,        84.10,     0.150406,     0.416667
 6,           83,        84.40,    0.0961065,      0.22619
 6,           84,        86.50,    0.0914688,     0.211765
 6,           84,        88.60,     0.128356,     0.270588
 6,           84,        82.63,     0.102353,     0.188235
 6,           84,        85.20,     0.107159,     0.188235
 6,           84,        80.10,    0.0966939,     0.223529
 6,           85,        86.80,     0.137753,     0.383721
 6,           85,        81.43,     0.108027,     0.255814
 6,           85,        83.93,     0.123361,     0.255814
 6,           85,        85.07,     0.109336,     0.313953
 6,           85,        85.00,     0.101186,     0.197674
 6,           86,        86.97,     0.107762,     0.241379
 6,           86,        86.77,     0.114804,     0.241379
 6,           86,        88.07,      0.12006,     0.241379
 6,           86,        89.23,     0.131627,     0.448276
 6,           86,        88.47,     0.168119,     0.632184
 6,           86,        89.13,     0.126563,     0.298851
 6,           87,        84.00,    0.0899241,     0.181818
 6,           87,        88.83,      0.11172,     0.284091
 6,           87,        90.53,     0.140735,     0.284091
 6,           87,        85.20,     0.101508,     0.227273
 6,           87,        88.43,     0.133142,     0.227273
 6,           88,        86.93,     0.118065,     0.292135
 6,           88,        90.60,     0.122481,     0.269663
 6,           88,        87.40,     0.114737,     0.213483
 6,           88,        88.77,    0.0999545,     0.213483
 6,           88,        88.77,     0.132536,     0.348315
 6,           89,        92.27,     0.116753,     0.322222
 6,           89,        89.20,    0.0964681,     0.255556
 6,           89,        90.10,     0.144268,     0.577778
 6,           89,        87.53,     0.150039,     0.488889
 6,           89,        88.37,     0.104984,     0.255556
 6,           90,        90.03,    0.0936237,     0.241758
 6,           90,        91.43,     0.111638,     0.241758
 6,           90,        88.67,     0.136888,     0.307692
 6,           90,        89.67,     0.106894,     0.241758
 6,           90,        88.73,     0.098627,     0.241758
 6,           91,        86.47,     0.139374,     0.293478
 6,           91,        95.57,      0.12467,     0.293478
 6,           91,        93.67,     0.108883,     0.228261
 6,           91,        92.83,     0.127928,     0.293478
 6,           91,        91.33,    0.0956147,     0.228261
 6,           91,        92.17,     0.105172,     0.293478
 6,           92,        91.57,     0.118918,     0.290323
 6,           92,        94.27,     0.123248,      0.27957
 6,           92,        90.20,     0.105694,      0.27957
 6,           92,        94.80,     0.118397,     0.215054
 6,           92,        91.87,    0.0973697,     0.215054
 6,           93,        95.43,      0.11815,     0.265957
 6,           93,        94.40,     0.122925,     0.265957
 6,           93,        95.63,     0.100089,     0.265957
 6,           93,        95.53,     0.120359,     0.265957
 6,           93,        93.80,     0.118956,     0.265957
