prec,       card,      avg_est,      std_err,      max_err
 6,           86,       100.90,     0.194421,     0.344828
 6,           86,        98.67,     0.159355,     0.241379
 6,           87,       100.17,     0.171392,     0.295455
 6,           87,       100.13,     0.174546,     0.340909
 6,           87,       101.73,     0.188433,     0.340909
 6,           88,       101.80,     0.170453,     0.348315
 6,           88,       103.07,     0.192724,      0.41573
 6,           89,       100.50,     0.141406,     0.244444
 6,           89,        99.57,     0.138178,     0.244444
 6,           89,       101.97,     0.163729,     0.277778
 6,           90,       102.40,     0.160911,     0.351648
 6,           90,       102.10,     0.162341,     0.340659
 6,           91,       102.50,     0.145116,      0.26087
 6,           91,       103.20,     0.156633,     0.347826
 6,           91,       103.43,     0.163916,     0.413043
 6,           92,       101.83,      0.13198,     0.311828
 6,           92,       104.27,     0.149288,     0.258065
 6,           92,       103.80,     0.149288,     0.268817
 6,           93,       107.10,     0.175195,     0.351064
 6,           93,       103.87,      0.13865,     0.319149
 6,           94,       105.10,     0.138231,     0.252632
 6,           94,       106.93,     0.155886,     0.336842
 6,           94,       105.93,     0.152941,     0.431579
 6,           95,       105.43,     0.130807,     0.260417
 6,           95,       106.73,     0.139808,     0.260417
 6,           96,       105.20,     0.115404,     0.226804
 6,           96,       108.07,     0.160192,     0.360825
 6,           96,       106.57,      0.12749,     0.237113
 6,           97,       108.30,     0.138816,      0.27551
 6,           97,       110.07,     0.161585,     0.316327
 6,           97,       108.37,     0.152285,     0.377551
 6,           98,       109.13,     0.140265,      0.30303
 6,           98,       109.03,     0.133808,     0.282828
 6,           99,       109.13,     0.125313,         0.26
 6,           99,       107.03,     0.113183,         0.23
 6,           99,       108.13,     0.132769,         0.36
 6,          100,       112.70,     0.153419,      0.29703
 6,          100,       108.00,      0.12262,      0.29703
 6,          100,       107.77,     0.101655,     0.267327
 6,          101,       115.10,     0.169897,     0.343137
 6,          101,       110.03,     0.122464,     0.323529
 6,          102,       112.53,     0.138175,     0.417476
 6,          102,       111.20,     0.129806,     0.281553
 6,          102,       109.97,     0.116128,     0.291262
 6,          103,       115.23,     0.140967,     0.278846
 6,          103,       112.23,     0.127899,     0.288462
 6,          104,       112.33,     0.111066,     0.295238
 6,          104,       114.70,     0.133837,      0.27619
 6,          104,       113.13,     0.115294,          0.2
 6,          105,       113.80,     0.138672,     0.396226
 6,          105,       112.30,     0.109389,     0.377358
 6,          105,       111.97,     0.106229,     0.264151
 6,          106,       116.23,     0.124507,     0.233645
 6,          106,       114.90,     0.117616,     0.317757
 6,          107,       116.03,     0.124879,     0.407407
 6,          107,       112.90,    0.0740541,     0.157407
 6,          107,       116.00,     0.123845,     0.259259
 6,          108,       119.60,     0.136418,     0.330275
 6,          108,       113.77,    0.0892577,     0.155963
 6,          109,       117.87,     0.107803,     0.227273
 6,          109,       118.13,      0.13331,          0.3
 6,          109,       116.70,     0.105546,     0.254545
 6,          110,       121.13,     0.138924,     0.297297
 6,          110,       117.60,     0.117511,      0.36036
 6,          110,       116.47,     0.090925,     0.189189
 6,          111,       120.10,     0.107795,     0.241071
 6,          111,       120.07,     0.122692,     0.285714
 6,          112,       118.60,     0.102309,     0.238938
 6,          112,       119.57,     0.116072,     0.292035
 6,          112,       118.57,    0.0918939,      0.19469
 6,          113,       119.93,     0.105439,     0.289474
 6,          113,       122.97,     0.128539,     0.280702
 6,          114,       123.47,     0.116888,     0.304348
 6,          114,       122.80,     0.109493,     0.234783
 6,          114,       121.70,     0.118538,     0.243478
 6,          115,       125.87,     0.132104,     0.258621
 6,          115,       122.93,    0.0956215,     0.206897
 6,          115,       124.37,     0.137512,     0.344828
 6,          116,       122.50,     0.104015,     0.333333
 6,          116,       125.17,     0.114461,     0.273504
 6,          117,       125.07,     0.126229,     0.423729
 6,          117,       122.07,     0.105613,     0.211864
 6,          117,       123.70,    0.0871517,     0.220339
 6,          118,       124.27,    0.0855556,     0.176471
 6,          118,       126.43,     0.101238,     0.201681
 6,          119,       127.67,     0.113757,     0.341667
 6,          119,       125.47,    0.0962914,        0.225
 6,          119,       122.83,    0.0679651,     0.166667
 6,          120,       130.07,     0.139461,      0.38843
 6,          120,       127.30,    0.0993989,     0.206612
 6,          120,       124.30,    0.0746331,     0.190083
 6,          121,       125.27,    0.0839224,     0.196721
 6,          121,       128.77,     0.114966,     0.262295
 6,          122,       133.30,     0.130423,     0.308943
 6,          122,       127.43,     0.119573,     0.398374
 6,          122,       130.03,     0.116091,     0.349593
 6,          123,       126.63,    0.0893395,     0.274194
 6,          123,       128.00,    0.0901018,     0.258065
 6,          124,       131.70,      0.12414,          0.4
 6,          124,       132.47,     0.107187,         0.24
 6,          124,       128.17,     0.103404,        0.256
 6,          125,       131.73,     0.112433,     0.325397
 6,          125,       130.97,    0.0967204,     0.198413
 6,          125,       131.93,    0.0968438,     0.246032
 6,          126,       129.33,    0.0842747,      0.19685
 6,          126,       129.03,     0.104879,     0.259843
 6,          127,       131.27,    0.0917761,     0.257812
 6,          127,       134.70,    0.0965263,     0.179688
 6,          127,       133.43,     0.119147,     0.304688
 6,          128,       132.43,      0.10271,     0.263566
 6,          128,       132.23,     0.103854,     0.271318
 6,          129,       139.27,     0.119698,     0.292308
 6,          129,       130.33,    0.0733104,     0.184615
 6,          129,       134.60,     0.100782,     0.207692
 6,          130,       134.67,     0.109361,     0.259542
 6,          130,       136.90,     0.126969,     0.389313
 6,          130,       135.23,    0.0873474,     0.206107
 6,          131,       136.40,     0.110573,     0.272727
 6,          131,       136.93,      0.11189,         0.25
 6,          132,       138.97,     0.125728,     0.443609
 6,          132,       136.57,     0.110864,     0.360902
 6,          132,       137.33,    0.0913208,     0.255639
 6,          133,       140.77,     0.125358,     0.313433
 6,          133,       135.80,    0.0877762,     0.253731
 6,          134,       137.17,    0.0944714,          0.2
 6,          134,       141.07,     0.107889,     0.311111
 6,          134,       140.47,     0.106973,     0.266667
 6,          135,       141.97,     0.129051,     0.352941
 6,          135,       137.83,    0.0854335,     0.316176
 6,          135,       136.20,    0.0715504,     0.176471
 6,          136,       138.87,    0.0935745,     0.306569
 6,          136,       140.87,     0.106555,     0.328467
 6,          137,       142.13,    0.0897236,      0.26087
 6,          137,       144.17,    0.0819282,     0.202899
 6,          137,       139.27,    0.0841415,     0.202899
 6,          138,       146.83,     0.136036,     0.374101
 6,          138,       142.67,    0.0892182,     0.201439
 6,          139,       143.13,    0.0741833,     0.157143
 6,          139,       145.97,     0.113351,     0.378571
 6,          139,       144.40,    0.0908363,     0.271429
 6,          140,       141.77,    0.0898163,     0.177305
 6,          140,       147.27,     0.120113,     0.304965
 6,          140,       146.53,     0.107977,     0.297872
 6,          141,       147.90,    0.0970443,     0.267606
 6,          141,       143.67,    0.0762297,     0.211268
 6,          142,       145.30,     0.104718,     0.356643
 6,          142,       144.47,    0.0928999,     0.251748
 6,          142,       146.57,    0.0789782,     0.216783
 6,          143,       150.47,     0.127828,     0.395833
 6,          143,       145.40,    0.0807798,     0.159722
 6,          144,       145.50,    0.0716138,     0.186207
 6,          144,       147.73,     0.125844,     0.434483
 6,          144,       150.93,     0.101407,     0.303448
 6,          145,       148.60,    0.0967302,     0.219178
 6,          145,       150.70,     0.114449,     0.342466
 6,          145,       156.00,     0.122854,     0.321918
 6,          146,       155.67,     0.131401,     0.285714
 6,          146,       147.70,     0.102524,     0.231293
 6,          147,       145.87,    0.0969777,     0.182432
 6,          147,       153.93,      0.11406,     0.317568
 6,          147,       148.70,     0.106605,     0.277027
 6,          148,       151.17,     0.100779,     0.275168
 6,          148,       154.97,     0.125923,     0.375839
 6,          148,       155.10,     0.109637,     0.261745
 6,          149,       149.13,    0.0879568,         0.22
 6,          149,       152.67,     0.125212,         0.36
 6,          150,       150.77,    0.0913265,     0.211921
 6,          150,       149.87,    0.0832982,     0.178808
 6,          150,       151.70,     0.117846,     0.284768
 6,          151,       158.40,     0.132179,     0.493421
 6,          151,       155.10,     0.103136,     0.282895
 6,          152,       151.47,     0.102167,     0.222222
 6,          152,       154.83,     0.102102,      0.24183
 6,          152,       155.50,     0.106619,     0.326797
 6,          153,       152.83,     0.104266,      0.25974
 6,          153,       158.47,    0.0967511,     0.305195
 6,          153,       155.63,     0.132557,     0.318182
 6,          154,       156.13,     0.125548,     0.393548
 6,          154,       154.23,    0.0890503,     0.206452
 6,          155,       159.47,     0.126346,      0.25641
 6,          155,       157.27,    0.0870669,     0.173077
 6,          155,       159.13,     0.122659,     0.282051
 6,          156,       154.10,    0.0905188,     0.165605
 6,          156,       161.70,     0.120938,     0.299363
 6,          157,       158.67,     0.120144,     0.253165
 6,          157,       159.90,     0.106576,     0.278481
 6,          157,       156.83,    0.0788669,     0.196203
 6,          158,       159.03,     0.103113,     0.238994
 6,          158,       162.47,     0.107167,     0.345912
 6,          158,       158.90,     0.073633,     0.163522
 6,          159,       163.10,     0.114711,      0.30625
 6,          159,       162.57,    0.0940799,      0.26875
 6,          160,       160.50,    0.0902226,     0.236025
 6,          160,       158.37,    0.0881945,      0.21118
 6,          160,       161.67,    0.0854441,     0.217391
 6,          161,       161.07,    0.0976685,     0.179012
 6,          161,       166.97,     0.113075,     0.419753
 6,          162,       169.07,     0.121413,     0.325153
 6,          162,       168.63,     0.119728,     0.245399
 6,          162,       162.87,      0.10024,     0.245399
 6,          163,       173.00,     0.100691,     0.213415
 6,          163,       168.67,     0.119197,     0.292683
 6,          163,       161.87,    0.0935904,     0.213415
 6,          164,       163.53,    0.0634046,     0.133333
 6,          164,       164.10,    0.0880066,     0.157576
 6,          165,       167.03,    0.0930227,     0.180723
 6,          165,       172.87,     0.108975,     0.283133
 6,          165,       166.03,     0.122158,     0.361446
 6,          166,       168.50,    0.0898479,     0.245509
 6,          166,       169.27,    0.0967842,     0.251497
 6,          167,       169.37,     0.111573,     0.261905
 6,          167,       169.90,     0.105852,     0.196429
 6,          167,       167.83,     0.113354,     0.357143
 6,          168,       174.40,     0.119157,     0.307692
 6,          168,       168.10,    0.0900001,     0.213018
 6,          168,       167.93,    0.0902614,     0.183432
 6,          169,       174.20,    0.0907617,          0.2
 6,          169,       170.97,     0.104607,          0.2
 6,          170,       170.17,    0.0992133,     0.210526
 6,          170,       166.53,    0.0952287,      0.19883
 6,          170,       168.43,    0.0999948,     0.216374
 6,          171,       174.83,     0.084948,     0.215116
 6,          171,       179.67,     0.122317,     0.261628
 6,          172,       177.80,     0.125847,     0.242775
 6,          172,       167.93,    0.0959703,     0.219653
 6,          172,       171.57,     0.105361,     0.352601
 6,          173,       176.07,     0.096298,     0.178161
 6,          173,       174.53,    0.0927188,     0.172414
 6,          173,       174.73,     0.110042,     0.252874
 6,          174,       179.33,     0.122668,     0.308571
 6,          174,       179.70,     0.108779,     0.388571
 6,          175,       175.07,    0.0914219,     0.193182
 6,          175,       177.70,     0.102452,     0.318182
 6,          175,       181.57,     0.139395,     0.517045
 6,          176,       176.93,     0.100814,     0.225989
 6,          176,       179.30,     0.100678,     0.214689
 6,          177,       186.97,     0.118125,     0.280899
 6,          177,       174.60,    0.0830009,     0.196629
 6,          177,       184.77,     0.125912,     0.342697
 6,          178,       180.07,     0.100494,     0.340782
 6,          178,       174.63,     0.128005,      0.26257
 6,          178,       171.30,    0.0980827,     0.178771
 6,          179,       182.47,     0.114294,     0.283333
 6,          179,       179.07,     0.124406,     0.255556
 6,          180,       188.93,     0.110954,     0.281768
 6,          180,       182.53,     0.101075,     0.292818
 6,          180,       184.00,     0.102666,     0.259669
 6,          181,       180.63,     0.098082,     0.192308
 6,          181,       174.73,    0.0751432,     0.153846
 6,          182,       184.97,    0.0937128,     0.202186
 6,          182,       183.53,     0.112612,     0.213115
 6,          182,       186.53,     0.108789,     0.218579
 6,          183,       182.27,      0.10729,     0.201087
 6,          183,       183.57,     0.101931,     0.304348
 6,          183,       184.37,    0.0942251,     0.244565
 6,          184,       185.87,     0.101474,     0.248649
 6,          184,       179.30,    0.0872808,     0.178378
 6,          185,       192.77,      0.12788,     0.284946
 6,          185,       187.63,     0.123914,      0.38172
 6,          185,       189.50,    0.0871553,     0.193548
 6,          186,       182.10,    0.0865755,     0.229947
 6,          186,       188.03,    0.0988794,     0.187166
 6,          187,       189.33,     0.112368,     0.228723
 6,          187,       199.40,     0.107813,     0.260638
 6,          187,       182.90,    0.0746317,     0.180851
 6,          188,       187.07,     0.112265,      0.21164
 6,          188,       186.83,    0.0945106,     0.190476
 6,          188,       194.33,     0.124357,     0.386243
 6,          189,       197.90,     0.119911,     0.321053
 6,          189,       189.03,    0.0971904,     0.168421
 6,          190,       188.73,     0.105234,     0.240838
 6,          190,       189.70,     0.134016,     0.408377
 6,          190,       194.83,     0.117896,     0.361257
 6,          191,       193.63,     0.113719,     0.296875
 6,          191,       190.47,     0.102519,     0.291667
 6,          192,       195.20,     0.131333,     0.393782
 6,          192,       188.40,    0.0971821,     0.259067
 6,          192,       189.97,     0.104335,     0.222798
 6,          193,       190.93,    0.0878638,     0.221649
 6,          193,       202.57,     0.114556,     0.242268
 6,          193,       198.17,     0.130828,     0.278351
 6,          194,       195.73,     0.119268,     0.210256
 6,          194,       188.53,    0.0878066,     0.164103
 6,          195,       198.37,     0.102467,     0.214286
 6,          195,       197.30,     0.100485,     0.260204
 6,          195,       202.40,     0.113557,     0.290816
 6,          196,       199.87,     0.108077,     0.243655
 6,          196,       197.50,      0.11726,     0.243655
 6,          196,       199.03,    0.0886209,     0.187817
 6,          197,       201.53,     0.130796,     0.343434
 6,          197,       195.60,     0.130412,     0.434343
 6,          198,       204.20,     0.130406,     0.432161
 6,          198,       200.33,     0.117049,     0.271357
 6,          198,       208.07,     0.144809,     0.361809
 6,          199,       196.70,    0.0956601,        0.235
 6,          199,       202.70,     0.109737,        0.225
 6,          200,       201.27,      0.10175,     0.353234
 6,          200,       199.47,     0.107724,     0.218905
 6,          200,       195.80,     0.126207,     0.477612
 6,          201,       205.30,     0.121432,     0.272277
 6,          201,       209.33,     0.126387,      0.39604
 6,          201,       207.73,     0.110696,     0.237624
 6,          202,       202.47,     0.128607,     0.251232
 6,          202,       199.27,     0.111555,     0.251232
 6,          203,       200.50,    0.0858314,     0.191176
 6,          203,       202.57,       0.1074,      0.20098
 6,          203,       204.63,     0.129275,     0.397059
 6,          204,       210.70,     0.129229,     0.307317
 6,          204,       202.50,     0.101788,     0.287805
 6,          205,       201.13,    0.0888541,      0.15534
 6,          205,       208.60,      0.12151,     0.339806
 6,          205,       200.13,    0.0859346,      0.23301
 6,          206,       209.50,    0.0962721,     0.198068
 6,          206,       204.20,     0.117247,     0.309179
 6,          206,       216.43,     0.128727,     0.328502
 6,          207,       197.67,    0.0988272,       0.1875
 6,          207,       206.53,     0.089988,     0.206731
 6,          208,       200.17,    0.0992691,     0.196172
 6,          208,       211.87,      0.13296,     0.311005
 6,          208,       205.97,     0.113682,     0.248804
 6,          209,       210.00,    0.0843255,     0.209524
 6,          209,       208.73,     0.124866,     0.304762
 6,          210,       214.20,     0.126944,     0.402844
 6,          210,       217.03,     0.093706,     0.180095
 6,          210,       208.40,    0.0999183,     0.241706
 6,          211,       214.27,     0.102883,     0.264151
 6,          211,       207.57,     0.106463,     0.254717
 6,          211,       209.27,    0.0827456,     0.245283
 6,          212,       208.53,     0.084345,     0.211268
 6,          212,       218.87,     0.108357,     0.248826
 6,          213,       216.10,     0.123148,     0.247664
 6,          213,       218.77,     0.121554,     0.247664
 6,          213,       222.73,     0.136607,     0.364486
 6,          214,       216.50,      0.11674,      0.27907
 6,          214,       214.50,    0.0769468,     0.148837
 6,          215,       220.57,     0.128084,     0.342593
 6,          215,       219.03,     0.116365,      0.25463
 6,          215,       214.97,     0.118355,     0.356481
 6,          216,       214.97,     0.096812,     0.193548
 6,          216,       211.47,    0.0902145,     0.165899
 6,          216,       218.80,    0.0926572,     0.345622
 6,          217,       211.10,     0.109022,     0.215596
 6,          217,       215.07,     0.127454,     0.399083
 6,          218,       221.07,    0.0962235,     0.173516
 6,          218,       214.87,     0.101624,     0.251142
 6,          218,       214.17,      0.11153,     0.283105
 6,          219,       224.27,      0.13387,     0.304545
 6,          219,       218.80,     0.127463,          0.3
 6,          220,       225.20,     0.131208,     0.479638
 6,          220,       214.73,     0.102338,     0.239819
 6,          220,       225.30,     0.100862,      0.19457
 6,          221,       219.27,    0.0958182,     0.184685
 6,          221,       219.67,     0.116218,     0.306306
 6,          221,       220.27,     0.112311,     0.292793
 6,          222,       224.90,    0.0858423,     0.197309
 6,          222,       227.60,     0.124256,     0.309417
 6,          223,       217.60,     0.125466,     0.370536
 6,          223,       219.43,     0.110319,     0.205357
 6,          223,       216.43,     0.104916,      0.21875
 6,          224,       221.27,     0.106244,     0.231111
 6,          224,       222.23,    0.0757356,     0.191111
 6,          225,       228.73,     0.100619,     0.190265
 6,          225,       222.57,    0.0806359,     0.159292
 6,          225,       221.53,     0.096194,      0.19469
 6,          226,       228.93,     0.112134,     0.259912
 6,          226,       217.60,    0.0838881,     0.145374
 6,          226,       240.53,     0.164245,     0.387665
 6,          227,       222.80,    0.0857538,     0.166667
 6,          227,       231.67,     0.157128,     0.421053
 6,          228,       224.73,     0.114426,     0.244541
 6,          228,       222.53,     0.107278,     0.222707
 6,          228,       227.73,     0.104577,     0.222707
 6,          229,       237.23,      0.12769,     0.321739
 6,          229,       232.70,     0.119117,     0.230435
 6,          230,       230.87,      0.12863,     0.307359
 6,          230,       228.17,       0.1303,     0.307359
 6,          230,       226.13,     0.091423,     0.190476
 6,          231,       229.13,     0.108402,      0.24569
 6,          231,       223.73,     0.120769,     0.327586
 6,          231,       229.00,     0.086659,     0.185345
